                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2635,                 2.5284,                  1.461,                0.01224,                   0.96,                0.39644,                 0.2599,                0.90779,                  2.593,                 1.1386,                      0,                      0,                      0
                      2,                 1.4137,                 2.8264,                 1.5131,                0.01223,                   0.96,                 0.3978,                0.25135,                0.89933,                 2.5946,                 1.1413,             1.9868e-05,             1.9868e-05,             1.9868e-05
                      3,                 1.2876,                 2.8714,                 1.4159,                0.01225,                   0.96,                0.39622,                0.24595,                0.90532,                 2.5952,                 1.1459,             3.9472e-05,             3.9472e-05,             3.9472e-05
                      4,                 1.1836,                 2.7214,                 1.3962,                0.01205,                0.94667,                0.39836,                0.24815,                0.91377,                 2.5957,                 1.1528,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      5,                 1.3037,                 2.6603,                 1.4623,                0.01206,                0.94667,                 0.3918,                  0.243,                0.91699,                  2.598,                 1.1582,             7.7888e-05,             7.7888e-05,             7.7888e-05
                      6,                 1.4009,                 2.9422,                 1.4597,                0.01224,                   0.96,                0.50484,                0.32452,                 0.8331,                 2.5787,                  1.099,               9.67e-05,               9.67e-05,               9.67e-05
                      7,                 1.3573,                 2.5934,                   1.48,                0.01222,                   0.96,                 0.5013,                0.32027,                0.84222,                 2.5819,                 1.1073,             0.00011525,             0.00011525,             0.00011525
                      8,                 1.4078,                 2.7314,                 1.5453,                0.01227,                   0.96,                0.51337,                 0.3402,                0.87151,                 2.5581,                 1.1024,             0.00013353,             0.00013353,             0.00013353
                      9,                 1.2978,                   2.64,                 1.4427,                0.01221,                   0.96,                0.54829,                0.36922,                0.93463,                 2.5367,                 1.1248,             0.00015155,             0.00015155,             0.00015155
                     10,                 1.1159,                 2.4456,                 1.2707,                0.01214,                   0.96,                 0.5589,                0.36658,                0.99743,                 2.5124,                 1.1608,             0.00016931,             0.00016931,             0.00016931
                     11,                  1.068,                 2.2302,                 1.3018,                0.01208,                   0.96,                0.56123,                0.36301,                 1.0508,                  2.477,                 1.1915,              0.0001868,              0.0001868,              0.0001868
                     12,                 1.1311,                 2.0999,                 1.3164,                0.02713,                   0.96,                0.58027,                0.37322,                 1.0543,                 2.4228,                  1.211,             0.00020403,             0.00020403,             0.00020403
                     13,                 1.1268,                 1.9583,                 1.2829,                0.96672,                   0.16,                0.58651,                 0.4005,                 1.0397,                 2.3613,                 1.2125,             0.00022099,             0.00022099,             0.00022099
                     14,                 1.1805,                 1.8206,                 1.3039,                0.96269,                   0.28,                0.62952,                0.42367,                 1.0221,                 2.2647,                 1.1924,             0.00023769,             0.00023769,             0.00023769
                     15,                 1.0719,                 1.6974,                 1.3055,                0.96539,                0.37192,                0.65448,                0.43842,                 1.0227,                 2.1877,                  1.177,             0.00025413,             0.00025413,             0.00025413
                     16,                 1.2367,                 1.6623,                 1.3371,                 0.9478,                0.48428,                0.67552,                0.45334,                 1.0342,                 2.1044,                 1.1912,              0.0002703,              0.0002703,              0.0002703
                     17,                  1.168,                  1.382,                  1.299,                0.93917,                0.50667,                0.68119,                0.47366,                 1.0408,                 2.0385,                 1.2051,             0.00028621,             0.00028621,             0.00028621
                     18,                 1.0834,                 1.4269,                 1.2713,                0.92798,                0.51544,                0.70001,                0.48528,                 1.0719,                  1.935,                 1.2122,             0.00030185,             0.00030185,             0.00030185
                     19,                 1.1321,                 1.3443,                 1.2942,                0.90809,                0.52702,                0.69718,                0.47712,                 1.1232,                 1.8532,                 1.2494,             0.00031723,             0.00031723,             0.00031723
                     20,                 1.1797,                 1.3389,                 1.3614,                0.90979,                0.53795,                 0.6952,                0.47227,                 1.1549,                 1.7868,                 1.2698,             0.00033235,             0.00033235,             0.00033235
                     21,                 1.0035,                   1.19,                 1.2033,                0.95509,                0.56721,                0.70312,                0.45974,                 1.1818,                 1.7714,                 1.2977,              0.0003472,              0.0003472,              0.0003472
                     22,                 1.0066,                 1.2637,                 1.2738,                0.85878,                0.58667,                0.68749,                0.45951,                 1.1763,                 1.7515,                 1.3014,             0.00036179,             0.00036179,             0.00036179
                     23,                 1.0601,                 1.1914,                 1.2715,                0.88039,                 0.5889,                0.71534,                 0.4739,                  1.094,                 1.6881,                 1.2283,             0.00037611,             0.00037611,             0.00037611
                     24,                 1.0109,                 1.1392,                 1.2006,                0.84349,                0.57491,                0.70862,                 0.4712,                 1.0768,                 1.5994,                 1.1961,             0.00039017,             0.00039017,             0.00039017
                     25,                  1.028,                 1.1112,                 1.2216,                0.89128,                0.57333,                0.73786,                0.51593,                 1.0569,                 1.4873,                 1.1704,             0.00040397,             0.00040397,             0.00040397
                     26,                 0.9743,                 1.0855,                 1.2045,                0.88067,                0.61333,                0.75082,                0.51036,                  1.074,                 1.4104,                  1.174,              0.0004175,              0.0004175,              0.0004175
                     27,                 1.0128,                 1.1544,                  1.289,                0.84512,                 0.5821,                0.72199,                0.49766,                 1.1561,                  1.408,                 1.2321,             0.00043077,             0.00043077,             0.00043077
                     28,                 1.0273,                 1.1053,                 1.2462,                 0.7395,                0.60566,                0.71314,                0.46229,                 1.1658,                 1.5656,                 1.2802,             0.00044377,             0.00044377,             0.00044377
                     29,                 1.0372,                 1.0751,                  1.224,                0.71621,                0.57333,                0.66693,                0.42729,                 1.1921,                 1.6455,                 1.3542,             0.00045651,             0.00045651,             0.00045651
                     30,                0.97573,                 1.0176,                  1.203,                0.72543,                0.59889,                0.68533,                0.44337,                 1.1738,                 1.6317,                 1.3369,             0.00046899,             0.00046899,             0.00046899
                     31,                0.90866,                0.93776,                 1.1718,                0.73584,                0.59432,                0.69464,                0.46418,                  1.119,                  1.622,                 1.2986,              0.0004812,              0.0004812,              0.0004812
                     32,                 1.0483,                  1.026,                 1.2294,                0.80365,                0.60029,                 0.7315,                0.49371,                 1.0984,                 1.5438,                  1.261,             0.00049315,             0.00049315,             0.00049315
                     33,                0.92712,                   1.06,                 1.1829,                0.83412,                0.60348,                0.76405,                0.51712,                 1.1388,                  1.508,                 1.2305,             0.00050483,             0.00050483,             0.00050483
                     34,                0.96507,                0.96853,                 1.2187,                0.87417,                    0.6,                0.74642,                0.49364,                 1.1281,                 1.5096,                 1.2342,             0.00051625,             0.00051625,             0.00051625
                     35,                   0.91,                0.94128,                  1.185,                0.89768,                0.58492,                0.74879,                0.50508,                  1.099,                 1.4825,                 1.1957,             0.00052741,             0.00052741,             0.00052741
                     36,                0.87288,                0.93702,                 1.1006,                0.84568,                   0.56,                0.74381,                0.52381,                 1.0466,                 1.4628,                 1.1625,              0.0005383,              0.0005383,              0.0005383
                     37,                0.98665,                  1.018,                 1.2227,                0.80666,                0.58667,                0.72519,                0.53648,                0.98261,                 1.4233,                 1.1135,             0.00054893,             0.00054893,             0.00054893
                     38,                 0.9303,                 1.0039,                 1.1994,                0.79336,                0.56315,                0.72968,                 0.5565,                0.96449,                 1.4075,                 1.0855,             0.00055929,             0.00055929,             0.00055929
                     39,                 0.8468,                0.88052,                 1.0757,                0.81796,                0.61333,                 0.7542,                0.56324,                0.97414,                 1.3765,                 1.0718,             0.00056939,             0.00056939,             0.00056939
                     40,                0.98448,                 0.9375,                 1.2074,                0.87963,                0.58667,                0.74591,                 0.5547,                 1.0164,                 1.3673,                 1.0995,             0.00057923,             0.00057923,             0.00057923
                     41,                0.91685,                0.88936,                  1.109,                0.81369,                    0.6,                0.76111,                0.54482,                 1.0648,                 1.4036,                 1.1126,              0.0005888,              0.0005888,              0.0005888
                     42,                0.91587,                 1.0184,                 1.2471,                0.81647,                0.59324,                0.76468,                0.54336,                  1.092,                 1.4537,                  1.159,             0.00059811,             0.00059811,             0.00059811
                     43,                0.93571,                0.86377,                 1.1604,                 0.7107,                   0.72,                0.77679,                0.56485,                 1.0098,                 1.3779,                 1.1233,             0.00060715,             0.00060715,             0.00060715
                     44,                0.90476,                0.97429,                 1.1746,                0.67621,                0.69616,                0.77482,                0.57469,                 0.9852,                 1.3028,                 1.1244,             0.00061593,             0.00061593,             0.00061593
                     45,                0.95073,                0.91892,                 1.1415,                0.67351,                0.68766,                0.78383,                0.59176,                0.93717,                 1.2897,                 1.1028,             0.00062445,             0.00062445,             0.00062445
                     46,                0.91586,                0.89042,                 1.1231,                0.75295,                0.69084,                0.82284,                0.62929,                0.91174,                  1.262,                 1.0537,              0.0006327,              0.0006327,              0.0006327
                     47,                0.81372,                0.82869,                  1.119,                0.79975,                0.70667,                0.82345,                0.60746,                0.97484,                 1.2586,                  1.075,             0.00064069,             0.00064069,             0.00064069
                     48,                0.92446,                 0.9063,                 1.1481,                0.84957,                0.70667,                0.81117,                0.59347,                 1.0199,                 1.3041,                  1.105,             0.00064841,             0.00064841,             0.00064841
                     49,                0.95051,                0.85753,                 1.1978,                 0.8097,                   0.68,                0.80803,                0.60059,                0.97537,                 1.3268,                 1.0927,             0.00065587,             0.00065587,             0.00065587
                     50,                 1.0085,                0.99995,                 1.2763,                0.86433,                0.67956,                0.83806,                0.64628,                0.88937,                 1.2656,                 1.0639,             0.00066307,             0.00066307,             0.00066307
                     51,                0.86911,                0.84342,                  1.112,                0.86433,                0.67956,                0.83806,                0.64628,                0.88937,                 1.2656,                 1.0639,                0.00067,                0.00067,                0.00067
                     52,                0.85617,                0.88227,                 1.1575,                0.93212,                 0.7324,                0.86491,                0.68098,                0.87668,                 1.2137,                 1.0896,             0.00067667,             0.00067667,             0.00067667
                     53,                0.95328,                0.88418,                 1.2004,                0.93212,                 0.7324,                0.86491,                0.68098,                0.87668,                 1.2137,                 1.0896,             0.00068307,             0.00068307,             0.00068307
                     54,                0.90187,                0.86302,                 1.1958,                0.90498,                   0.76,                0.87926,                0.68605,                0.86014,                 1.2137,                 1.0806,             0.00068921,             0.00068921,             0.00068921
                     55,                0.91149,                0.81452,                  1.171,                0.90498,                   0.76,                0.87926,                0.68605,                0.86014,                 1.2137,                 1.0806,             0.00069509,             0.00069509,             0.00069509
                     56,                 0.8343,                0.85322,                 1.1318,                0.95038,                0.77333,                0.88991,                0.69138,                0.88518,                  1.249,                 1.0796,              0.0007007,              0.0007007,              0.0007007
                     57,                0.81875,                0.84357,                 1.0963,                0.95038,                0.77333,                0.88991,                0.69138,                0.88518,                  1.249,                 1.0796,             0.00070605,             0.00070605,             0.00070605
                     58,                0.89536,                0.87192,                 1.1126,                0.89564,                   0.76,                 0.8847,                0.67586,                0.91822,                 1.2709,                 1.0855,             0.00071113,             0.00071113,             0.00071113
                     59,                0.83823,                0.81596,                 1.1007,                0.89564,                   0.76,                 0.8847,                0.67586,                0.91822,                 1.2709,                 1.0855,             0.00071595,             0.00071595,             0.00071595
                     60,                0.90051,                0.92109,                 1.1769,                 0.8925,                0.74667,                0.88985,                0.68625,                0.90948,                 1.2809,                  1.052,             0.00072051,             0.00072051,             0.00072051
                     61,                0.78022,                0.81845,                 1.1002,                 0.8925,                0.74667,                0.88985,                0.68625,                0.90948,                 1.2809,                  1.052,              0.0007248,              0.0007248,              0.0007248
                     62,                0.89267,                0.88099,                 1.1681,                0.87123,                0.81193,                0.87758,                0.67764,                0.89191,                 1.2784,                 1.0464,             0.00072883,             0.00072883,             0.00072883
                     63,                  0.898,                0.85113,                 1.1463,                0.87123,                0.81193,                0.87758,                0.67764,                0.89191,                 1.2784,                 1.0464,             0.00073259,             0.00073259,             0.00073259
                     64,                0.79333,                0.81141,                 1.1308,                  0.874,                0.83244,                0.88752,                0.66732,                0.86278,                 1.2308,                 1.0504,             0.00073609,             0.00073609,             0.00073609
                     65,                0.73504,                0.77717,                 1.0681,                  0.874,                0.83244,                0.88752,                0.66732,                0.86278,                 1.2308,                 1.0504,             0.00073933,             0.00073933,             0.00073933
                     66,                0.83252,                0.79658,                 1.1095,                0.90016,                0.84154,                0.90359,                0.66047,                0.88091,                 1.1568,                 1.0734,              0.0007423,              0.0007423,              0.0007423
                     67,                0.90406,                0.86496,                 1.1448,                0.90016,                0.84154,                0.90359,                0.66047,                0.88091,                 1.1568,                 1.0734,             0.00074501,             0.00074501,             0.00074501
                     68,                0.82504,                0.80532,                 1.0855,                0.85192,                0.81333,                0.88188,                0.66631,                0.86718,                 1.1315,                 1.0801,             0.00074745,             0.00074745,             0.00074745
                     69,                0.73369,                0.77711,                 1.0671,                0.85192,                0.81333,                0.88188,                0.66631,                0.86718,                 1.1315,                 1.0801,             0.00074963,             0.00074963,             0.00074963
                     70,                0.73609,                0.73891,                 1.0608,                0.81663,                   0.84,                0.86271,                0.64346,                0.88641,                 1.1691,                 1.1056,             0.00075155,             0.00075155,             0.00075155
                     71,                0.88303,                0.83355,                 1.1381,                0.81663,                   0.84,                0.86271,                0.64346,                0.88641,                 1.1691,                 1.1056,              0.0007532,              0.0007532,              0.0007532
                     72,                0.71884,                0.71142,                 1.0439,                0.81022,                   0.84,                0.85681,                0.66456,                0.87662,                 1.1383,                 1.0805,             0.00075459,             0.00075459,             0.00075459
                     73,                0.87694,                0.84861,                 1.1696,                0.81022,                   0.84,                0.85681,                0.66456,                0.87662,                 1.1383,                 1.0805,             0.00075571,             0.00075571,             0.00075571
                     74,                0.80837,                0.76585,                 1.1005,                 0.7596,                0.86667,                0.86616,                 0.6754,                0.81082,                 1.0882,                 1.0321,             0.00075657,             0.00075657,             0.00075657
                     75,                0.80623,                0.75035,                 1.0516,                 0.7596,                0.86667,                0.86616,                 0.6754,                0.81082,                 1.0882,                 1.0321,             0.00075717,             0.00075717,             0.00075717
                     76,                0.76948,                0.75462,                 1.0744,                0.87532,                0.84248,                0.89506,                0.69841,                0.78116,                 0.9958,                 1.0301,              0.0007575,              0.0007575,              0.0007575
                     77,                0.76103,                0.72011,                 1.0492,                0.87532,                0.84248,                0.89506,                0.69841,                0.78116,                 0.9958,                 1.0301,             0.00075757,             0.00075757,             0.00075757
                     78,                0.74109,                0.73426,                 1.0638,                0.90408,                0.87975,                0.91501,                0.73668,                0.75488,                0.90955,                 1.0095,             0.00075737,             0.00075737,             0.00075737
                     79,                0.74114,                0.72504,                  1.066,                0.90408,                0.87975,                0.91501,                0.73668,                0.75488,                0.90955,                 1.0095,             0.00075691,             0.00075691,             0.00075691
                     80,                0.70808,                 0.7214,                 1.0335,                0.91195,                0.86667,                0.91819,                0.76535,                0.67545,                 0.8387,                0.93445,             0.00075619,             0.00075619,             0.00075619
                     81,                0.69598,                0.82977,                 1.0473,                0.91195,                0.86667,                0.91819,                0.76535,                0.67545,                 0.8387,                0.93445,              0.0007552,              0.0007552,              0.0007552
                     82,                0.69368,                0.72766,                 1.0451,                0.92932,                0.89333,                0.92396,                0.77264,                0.67078,                0.79073,                0.93783,             0.00075395,             0.00075395,             0.00075395
                     83,                0.66167,                0.67599,                0.98769,                0.92932,                0.89333,                0.92396,                0.77264,                0.67078,                0.79073,                0.93783,             0.00075243,             0.00075243,             0.00075243
                     84,                0.78731,                0.75549,                 1.0437,                0.90283,                0.89333,                0.91268,                0.76471,                 0.6806,                0.78085,                 0.9677,             0.00075065,             0.00075065,             0.00075065
                     85,                0.69075,                0.69235,                 1.0271,                0.90283,                0.89333,                0.91268,                0.76471,                 0.6806,                0.78085,                 0.9677,             0.00074861,             0.00074861,             0.00074861
                     86,                0.71599,                0.72334,                 1.0391,                0.89237,                0.88446,                0.90991,                0.75361,                0.69948,                0.77944,                 0.9941,              0.0007463,              0.0007463,              0.0007463
                     87,                0.80919,                0.81154,                 1.0904,                0.89237,                0.88446,                0.90991,                0.75361,                0.69948,                0.77944,                 0.9941,             0.00074373,             0.00074373,             0.00074373
                     88,                 0.7489,                0.73281,                 1.0468,                0.90518,                0.89106,                0.91629,                0.77056,                 0.6836,                0.77699,                0.98183,             0.00074089,             0.00074089,             0.00074089
                     89,                0.66579,                0.65912,                 1.0375,                0.90518,                0.89106,                0.91629,                0.77056,                 0.6836,                0.77699,                0.98183,             0.00073779,             0.00073779,             0.00073779
                     90,                0.69782,                0.72557,                 1.0459,                0.90639,                0.90379,                0.93523,                0.79756,                0.62658,                0.75325,                0.94057,             0.00073443,             0.00073443,             0.00073443
                     91,                0.66699,                0.71207,                   1.07,                0.90639,                0.90379,                0.93523,                0.79756,                0.62658,                0.75325,                0.94057,              0.0007308,              0.0007308,              0.0007308
                     92,                0.66669,                0.72026,                 1.0459,                0.91758,                   0.88,                0.93813,                0.76923,                0.64495,                 0.7949,                0.92291,             0.00072691,             0.00072691,             0.00072691
                     93,                0.68285,                0.66099,                 1.0069,                0.91758,                   0.88,                0.93813,                0.76923,                0.64495,                 0.7949,                0.92291,             0.00072275,             0.00072275,             0.00072275
                     94,                0.77902,                0.75463,                 1.0553,                0.90654,                0.90533,                0.92867,                0.76746,                0.64294,                0.82027,                0.91729,             0.00071833,             0.00071833,             0.00071833
                     95,                0.74485,                0.67273,                 1.0887,                0.90654,                0.90533,                0.92867,                0.76746,                0.64294,                0.82027,                0.91729,             0.00071365,             0.00071365,             0.00071365
                     96,                0.65522,                0.68808,                 1.0494,                0.95517,                0.85233,                0.93908,                0.77819,                0.63298,                0.82403,                0.90986,              0.0007087,              0.0007087,              0.0007087
                     97,                0.66833,                0.70781,                 1.0308,                0.95517,                0.85233,                0.93908,                0.77819,                0.63298,                0.82403,                0.90986,             0.00070349,             0.00070349,             0.00070349
                     98,                0.72613,                0.68817,                 1.0402,                  0.956,                0.86909,                0.93977,                0.77432,                0.65973,                0.82826,                0.92187,             0.00069801,             0.00069801,             0.00069801
                     99,                0.60835,                 0.6776,                 1.0228,                  0.956,                0.86909,                0.93977,                0.77432,                0.65973,                0.82826,                0.92187,             0.00069227,             0.00069227,             0.00069227
                    100,                0.64452,                0.71734,                 1.0527,                0.91638,                0.87669,                0.92795,                0.78469,                0.66343,                0.82493,                0.92177,             0.00068627,             0.00068627,             0.00068627
                    101,                0.69916,                0.74963,                 1.0565,                0.91638,                0.87669,                0.92795,                0.78469,                0.66343,                0.82493,                0.92177,                0.00068,                0.00068,                0.00068
                    102,                0.70762,                0.65126,                 1.0088,                0.94247,                0.87385,                0.94524,                0.79396,                0.64365,                0.79833,                0.93134,              0.0006668,              0.0006668,              0.0006668
                    103,                0.65946,                0.71247,                 1.0319,                0.94247,                0.87385,                0.94524,                0.79396,                0.64365,                0.79833,                0.93134,              0.0006536,              0.0006536,              0.0006536
                    104,                0.66069,                0.66748,                 1.0257,                0.94708,                   0.88,                0.94397,                 0.8053,                0.64971,                0.76775,                0.94587,              0.0006404,              0.0006404,              0.0006404
                    105,                0.64208,                0.64528,                  1.005,                0.94708,                   0.88,                0.94397,                 0.8053,                0.64971,                0.76775,                0.94587,              0.0006272,              0.0006272,              0.0006272
                    106,                0.65115,                0.72528,                0.99718,                0.95517,                0.81333,                0.95527,                0.80003,                0.66986,                0.74592,                0.96357,               0.000614,               0.000614,               0.000614
                    107,                0.70682,                0.67279,                 1.0541,                0.95517,                0.81333,                0.95527,                0.80003,                0.66986,                0.74592,                0.96357,              0.0006008,              0.0006008,              0.0006008
                    108,                0.70718,                0.70351,                 1.0202,                0.90991,                   0.88,                0.96235,                0.81505,                0.66116,                0.71431,                0.95414,              0.0005876,              0.0005876,              0.0005876
                    109,                0.69415,                0.73268,                 1.0076,                0.90991,                   0.88,                0.96235,                0.81505,                0.66116,                0.71431,                0.95414,              0.0005744,              0.0005744,              0.0005744
                    110,                0.78185,                0.74503,                  1.084,                0.90892,                0.93142,                0.96122,                0.82736,                0.66004,                0.69889,                 0.9488,              0.0005612,              0.0005612,              0.0005612
                    111,                0.67633,                0.69184,                 1.0823,                0.90892,                0.93142,                0.96122,                0.82736,                0.66004,                0.69889,                 0.9488,               0.000548,               0.000548,               0.000548
                    112,                0.69345,                 0.7037,                 1.0922,                0.93336,                   0.92,                0.96328,                0.82107,                 0.6595,                0.67848,                0.94019,              0.0005348,              0.0005348,              0.0005348
                    113,                0.67178,                0.64303,                 1.0162,                0.93336,                   0.92,                0.96328,                0.82107,                 0.6595,                0.67848,                0.94019,              0.0005216,              0.0005216,              0.0005216
                    114,                0.69624,                 0.7264,                 1.1019,                0.93413,                0.93333,                0.96548,                0.81485,                0.67731,                0.68369,                0.94381,              0.0005084,              0.0005084,              0.0005084
                    115,                0.70254,                0.64421,                 1.0403,                0.93413,                0.93333,                0.96548,                0.81485,                0.67731,                0.68369,                0.94381,              0.0004952,              0.0004952,              0.0004952
                    116,                0.73973,                0.71738,                 1.0083,                0.98549,                0.90574,                0.96576,                0.80083,                0.67558,                0.67699,                0.94991,               0.000482,               0.000482,               0.000482
                    117,                0.63095,                0.61728,                0.98542,                0.98549,                0.90574,                0.96576,                0.80083,                0.67558,                0.67699,                0.94991,              0.0004688,              0.0004688,              0.0004688
                    118,                0.68877,                0.65669,                 1.0388,                0.98266,                   0.92,                 0.9656,                0.81492,                 0.6315,                0.66172,                0.93172,              0.0004556,              0.0004556,              0.0004556
                    119,                0.70343,                0.65105,                 1.0326,                0.98266,                   0.92,                 0.9656,                0.81492,                 0.6315,                0.66172,                0.93172,              0.0004424,              0.0004424,              0.0004424
                    120,                0.69063,                 0.6296,                 1.0196,                 0.9719,                0.92219,                0.97307,                0.82991,                0.57213,                0.64038,                0.90112,              0.0004292,              0.0004292,              0.0004292
                    121,                0.70998,                0.72449,                 1.0388,                 0.9719,                0.92219,                0.97307,                0.82991,                0.57213,                0.64038,                0.90112,               0.000416,               0.000416,               0.000416
                    122,                0.67732,                0.68761,                 1.0236,                0.98566,                0.91663,                0.96929,                0.84482,                0.54676,                0.61072,                0.89792,              0.0004028,              0.0004028,              0.0004028
                    123,                0.59253,                0.61711,                0.98196,                0.98566,                0.91663,                0.96929,                0.84482,                0.54676,                0.61072,                0.89792,              0.0003896,              0.0003896,              0.0003896
                    124,                0.70773,                0.63782,                 1.0218,                0.97221,                0.93305,                0.97492,                0.85871,                0.53391,                0.59083,                0.89006,              0.0003764,              0.0003764,              0.0003764
                    125,                0.69257,                0.63531,                0.99989,                0.97221,                0.93305,                0.97492,                0.85871,                0.53391,                0.59083,                0.89006,              0.0003632,              0.0003632,              0.0003632
                    126,                 0.6194,                0.59492,                0.97865,                0.96959,                   0.96,                0.97784,                0.87529,                0.49849,                0.56143,                0.86576,                0.00035,                0.00035,                0.00035
                    127,                0.66222,                0.67159,                 1.0317,                0.96959,                   0.96,                0.97784,                0.87529,                0.49849,                0.56143,                0.86576,              0.0003368,              0.0003368,              0.0003368
                    128,                0.60468,                0.62257,                 1.0113,                  0.999,                0.94667,                0.98408,                0.87872,                0.48651,                0.54646,                 0.8533,              0.0003236,              0.0003236,              0.0003236
                    129,                0.62522,                 0.6658,                0.99664,                  0.999,                0.94667,                0.98408,                0.87872,                0.48651,                0.54646,                 0.8533,              0.0003104,              0.0003104,              0.0003104
                    130,                0.61775,                0.61106,                0.99577,                0.99718,                0.94667,                0.98551,                0.87562,                0.49193,                0.53825,                0.84903,              0.0002972,              0.0002972,              0.0002972
                    131,                 0.6359,                0.60694,                 1.0403,                0.99718,                0.94667,                0.98551,                0.87562,                0.49193,                0.53825,                0.84903,               0.000284,               0.000284,               0.000284
                    132,                0.66379,                0.64774,                 1.0354,                0.99657,                0.94667,                0.98757,                0.88034,                0.48067,                0.52836,                0.84352,              0.0002708,              0.0002708,              0.0002708
                    133,                0.69365,                0.64698,                 1.0835,                0.99657,                0.94667,                0.98757,                0.88034,                0.48067,                0.52836,                0.84352,              0.0002576,              0.0002576,              0.0002576
                    134,                0.65468,                0.62749,                 1.0114,                0.99696,                0.94667,                0.98894,                0.88596,                0.46535,                0.52344,                0.83971,              0.0002444,              0.0002444,              0.0002444
                    135,                0.63905,                0.64111,                 1.0306,                0.99696,                0.94667,                0.98894,                0.88596,                0.46535,                0.52344,                0.83971,              0.0002312,              0.0002312,              0.0002312
                    136,                0.58904,                0.57881,                0.99373,                0.99909,                0.94667,                0.99117,                0.88297,                0.45915,                0.51637,                0.83864,               0.000218,               0.000218,               0.000218
                    137,                0.63372,                 0.6232,                0.99069,                0.99909,                0.94667,                0.99117,                0.88297,                0.45915,                0.51637,                0.83864,              0.0002048,              0.0002048,              0.0002048
                    138,                0.57824,                0.58182,                0.99552,                0.98624,                0.95597,                0.99228,                0.89663,                0.45534,                0.50808,                 0.8379,              0.0001916,              0.0001916,              0.0001916
                    139,                0.60727,                0.60015,                 1.0306,                0.98624,                0.95597,                0.99228,                0.89663,                0.45534,                0.50808,                 0.8379,              0.0001784,              0.0001784,              0.0001784
                    140,                0.62974,                0.62649,                0.98902,                0.99642,                   0.96,                0.99303,                0.89381,                0.44634,                0.50292,                0.83426,              0.0001652,              0.0001652,              0.0001652
                    141,                0.59419,                0.81142,                 1.0868,                0.99642,                   0.96,                0.99303,                0.89381,                0.44634,                0.50292,                0.83426,               0.000152,               0.000152,               0.000152
                    142,                0.52525,                0.82625,                0.95907,                0.99777,                   0.96,                0.99329,                0.89339,                 0.4399,                0.49278,                0.83315,              0.0001388,              0.0001388,              0.0001388
                    143,                 0.4717,                 0.6239,                0.88557,                0.99777,                   0.96,                0.99329,                0.89339,                 0.4399,                0.49278,                0.83315,              0.0001256,              0.0001256,              0.0001256
                    144,                0.43956,                 0.6333,                0.92832,                      1,                0.95944,                0.99329,                 0.8956,                 0.4358,                0.48698,                0.83149,              0.0001124,              0.0001124,              0.0001124
                    145,                0.50314,                0.68798,                0.95141,                      1,                0.95944,                0.99329,                 0.8956,                 0.4358,                0.48698,                0.83149,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.47905,                 0.6974,                0.93916,                      1,                0.95791,                 0.9934,                0.89894,                0.43074,                0.48328,                0.82999,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.49543,                0.69962,                0.92805,                      1,                0.95791,                 0.9934,                0.89894,                0.43074,                0.48328,                0.82999,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.44459,                0.57979,                0.88261,                      1,                0.95729,                0.99349,                0.90242,                 0.4274,                0.47984,                0.82903,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.45323,                0.57065,                0.86732,                      1,                0.95729,                0.99349,                0.90242,                 0.4274,                0.47984,                0.82903,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.48236,                0.59506,                0.92589,                      1,                0.95729,                 0.9936,                0.91066,                0.42373,                0.47837,                0.82866,               3.32e-05,               3.32e-05,               3.32e-05
